field,type,description
utility_id,integer,"Primary key, unique identifier associated with the energy utility"
utility_name,string,Name of the energy utility
utility_type,string,"Type of energy utility (electrical, natural gas)"
web_url,string,Web site of the energy utility
electrical_small_servce_rate,float,"Average price of electrictiy ($/kWh) at service of approximately 40kW or less and 10,000kWh"
electrical_medium_service_rate,float,"Average price of electrictiy ($/kWh) at service of approximately 500kW and 100,000kWh"
electrical_large_service_rate,float,"Average price of electrictiy ($/kWh) at service of approximately 5000kW and 2,340,000kWh"
industrial_natural_gas_rate,float,"Average price of natural gas ($/GJ) for large volume commercial, institutional, multi-family and other accounts with consumption of approximately 5,000 GJ or more annually"
interruptible_natural_gas_rate,float,Average price of natural gas ($/GJ) (interruptible service rate) for large volume customers that have the ability to switch to an alternate energy source
rate_source,string,url of source used to determine service rates
notes,string,Caveat regarding provided rates
