folder,datafile,destination,iedc_tab,categories
Climate,econ_whse_climate_bc.csv,BCGW,21 Quality of Life,Climate
DemographicsLabour,econ_whse_demographics_labour_cd_bc.csv,BCGW,01 Demographics; 02 Labour,Household income; Employment by industry; Employment by occupation; Labour participation rate; Workforce education attainment; Commute time
DemographicsLabour,econ_whse_demographics_labour_csd_bc.csv,BCGW,01 Demographics; 02 Labour,Population; Household income; Employment by industry; Employment by occupation; Labour participation rate; Workforce education attainment; Commute time
Distances,origin_destination_csd.csv,TBD,,
Elevation,econ_whse_elevation_bc.csv,BCGW,21 Quality of Life,Climate
LabourMarket,econ_whse_lmsm_regional_3digitnoc.csv,BCGW,02 Labour,Employment by industry forecast
LabourMarket,econ_whse_regional_noc_wages.csv,BCGW,11 Salaries,Salary
LabourMarket,econ_whse_unemployment.csv,BCGW,02 Labour,Unemployment rate
Languages,econ_whse_languages.csv,BCGW,20 International,Language
NetworkCoverage,network_coverage.csv,TBD,,Network coverage
PopulationProjections,econ_whse_population_projections.csv,BCGW,01 Demographics,Population projections
Taxation,econ_whse_municipal_property_tax_rates.csv,BCGW,15 Taxation,Property tax
Taxation,SalesAndIncomeTax.csv,TBD,15 Taxation,Sales tax; Income tax
Taxation,SalesTax_ItemsSubjectTo.csv,TBD,15 Taxation,Sales tax
